text,label
BREAKING: doctors caught hiding a hidden merger from the public,1
Scientists 'confirm' drinking lemon water will destroy artificial intelligence by 2027,1
Leaked memo 'proves' the government is behind toxic waste dumping,1
City council in Nairobi approves budget for children's hospital expansion,0
the World Bank announces new policy on artificial intelligence,0
Kenya reports 7 percent change in unemployment for Q3,0
Experts 'warn' drinking lemon water could end climate change as we know it,1
BREAKING: big pharma caught hiding toxic waste dumping from the public,1
Researchers at the local council publish peer-reviewed study on vaccines,0
Researchers at MIT publish peer-reviewed study on the economy,0
7 shocking facts about cryptocurrency that will blow your mind,1
MIT announces new policy on climate change,0
City council in Berlin approves budget for research center expansion,0
Scientists 'confirm' drinking lemon water will destroy cryptocurrency by 2030,1
Leaked memo 'proves' big pharma is behind toxic waste dumping,1
Scientists 'confirm' 5G towers will destroy space travel by 2035,1
Kenya and neighboring country sign agreement on climate change,0
Leaked memo 'proves' banks is behind a secret lab,1
9 shocking facts about space travel that will blow your mind,1
Leaked memo 'proves' big pharma is behind a massive data breach,1
Leaked memo 'proves' doctors is behind a massive data breach,1
the World Bank releases annual report on renewable energy output,0
Scientists 'confirm' 5G towers will destroy the economy by 2027,1
the local council opens new recycling plant in Nairobi,0
You won't believe what a royal family member did to artificial intelligence last night,1
Scientists 'confirm' a full moon will destroy the economy by 2030,1
City council in Nairobi approves budget for research center expansion,0
SHOCKING: the drinking lemon water secret that doctors don't want you to know,1
the national football team wins the league final after a closely contested match,0
SHOCKING: the a full moon secret that doctors don't want you to know,1
SHOCKING: the a secret government chip secret that banks don't want you to know,1
the local council announces new policy on artificial intelligence,0
Scientists 'confirm' a secret government chip will destroy the economy by 2027,1
Brazil reports 21 percent change in tourism revenue for Q2,0
Egypt reports 7 percent change in unemployment for Q2,0
Stanford University announces new policy on cryptocurrency,0
the World Bank announces new policy on cryptocurrency,0
the local council opens new public library in Berlin,0
Leaked memo 'proves' the government is behind insider trading,1
BREAKING: the government caught hiding insider trading from the public,1
Scientists 'confirm' drinking lemon water will destroy space travel by 2030,1
MIT announces new policy on vaccines,0
Scientists 'confirm' 5G towers will destroy vaccines by 2027,1
Experts 'warn' a full moon could end climate change as we know it,1
Germany reports 5 percent change in literacy rates for Q2,0
City council in Berlin approves budget for metro line expansion,0
Scientists 'confirm' drinking lemon water will destroy the economy by 2035,1
City council in Riyadh approves budget for recycling plant expansion,0
You won't believe what a pop star did to artificial intelligence last night,1
You won't believe what a pop star did to space travel last night,1
the local council opens new recycling plant in Riyadh,0
7 shocking facts about the economy that will blow your mind,1
Experts 'warn' a full moon could end the economy as we know it,1
13 shocking facts about climate change that will blow your mind,1
SHOCKING: the a full moon secret that big pharma don't want you to know,1
9 shocking facts about vaccines that will blow your mind,1
Germany reports 5 percent change in renewable energy output for Q1,0
Scientists 'confirm' a secret government chip will destroy cryptocurrency by 2027,1
BREAKING: the government caught hiding a massive data breach from the public,1
Leaked memo 'proves' big pharma is behind insider trading,1
City council in Riyadh approves budget for children's hospital expansion,0
SHOCKING: the 5G towers secret that big pharma don't want you to know,1
You won't believe what a royal family member did to the economy last night,1
21 shocking facts about artificial intelligence that will blow your mind,1
Researchers at the local council publish peer-reviewed study on space travel,0
You won't believe what a tech billionaire did to climate change last night,1
Scientists 'confirm' drinking lemon water will destroy artificial intelligence by 2035,1
Germany reports 5 percent change in unemployment for Q3,0
Brazil reports 5 percent change in renewable energy output for the fiscal year,0
You won't believe what a top athlete did to climate change last night,1
the city basketball club wins the regional championship after a closely contested match,0
Researchers at the Ministry of Health publish peer-reviewed study on vaccines,0
